short_name,month,quantity_tons,product
MMG,August,3467.5,Copper
MMG,September,2960.9,Copper
MMG,October,5033.8,Copper
MMG,November,3403,Copper
MMG,December,3253.1,Copper
MMT,August,81.2,Cobalt
MMT,January,543.3,Copper
MMT,February,862.6,Copper
MMT,March,836.1,Copper
MMT,April,736.4,Copper
MMT,May,1172,Copper
MMT,June,1051.3,Copper
MMT,July,1448,Copper
MMT,August,1401.3,Copper
MMT,September,1001,Copper
MMT,October,2667.8,Copper
MMT,November,2490.4,Copper
MMT,December,1691.3,Copper
MPC,June,20.7,Copper
MPC,July,103.5,Copper
MPC,October,50,Copper
MSL,June,363.5,Copper
MSL,September,0,Copper
MUMI,January,777.2,Cobalt
MUMI,February,38,Cobalt
MUMI,March,563.1,Cobalt
MUMI,April,584,Cobalt
MUMI,May,479.3,Cobalt
MUMI,June,598.9,Cobalt
MUMI,July,773.2,Cobalt
MUMI,August,585.4,Cobalt
MUMI,September,657.1,Cobalt
MUMI,October,828.6,Cobalt
MUMI,November,909.1,Cobalt
MUMI,December,622.3,Cobalt
MUMI,January,2706.9,Copper
MUMI,February,1481.7,Copper
MUMI,March,3078.2,Copper
MUMI,April,3291,Copper
MUMI,May,3203.3,Copper
MUMI,June,3404.5,Copper
MUMI,July,2290.9,Copper
MUMI,August,2183.4,Copper
MUMI,September,3773.8,Copper
MUMI,October,2702.8,Copper
MUMI,November,3823.2,Copper
MUMI,December,1824.8,Copper
NEW MINERALS INVESTMENT,December,109.4,Cobalt
NEW MINERALS INVESTMENT,January,1872.4,Copper
NEW MINERALS INVESTMENT,February,3012.3,Copper
NEW MINERALS INVESTMENT,March,2521.3,Copper
NEW MINERALS INVESTMENT,April,1704,Copper
NEW MINERALS INVESTMENT,May,1753.4,Copper
NEW MINERALS INVESTMENT,June,2501.8,Copper
NEW MINERALS INVESTMENT,July,3160.7,Copper
NEW MINERALS INVESTMENT,August,2312.8,Copper
NEW MINERALS INVESTMENT,September,3242,Copper
NEW MINERALS INVESTMENT,October,2471.7,Copper
NEW MINERALS INVESTMENT,November,2899,Copper
NEW MINERALS INVESTMENT,December,2889.4,Copper
OM METAL,January,270,Copper
OM METAL,February,510,Copper
OM METAL,March,240,Copper
OM METAL,April,390,Copper
OM METAL,May,395,Copper
OM METAL,June,490,Copper
OM METAL,July,315,Copper
OM METAL,August,250,Copper
OM METAL,September,582,Copper
